#,Rank FMCK Skövde,Rank Töreboda MK,Rank Tidaholms MK,Rank Falköpings MK,Rank Carlsborgs MK,Rank Tibro MK,Namn,Klubb,Klass,Predicted_Rank,Rank
1321.0,76.0,109.0,64.0,45.0,93.0,145.0,Lisa Nyqvist,Stenungsunds MS,Ungdom E1,88.66666666666671,113
102.0,128.0,85.0,117.0,55.0,72.0,79.0,Rikard Sundström,Götene MK,Motion -39,89.33333333333336,114
1526.0,153.4,61.0,84.0,41.0,56.0,144.0,Håkan Persson,MK Ran,Motion 60-,89.90000000000002,115
147.0,73.8,65.4,156.0,42.2,143.0,59.0,Carolin Wedemalm,Falköpings MK,Motion Dam,89.90000000000003,116
177.0,74.2,108.0,128.0,53.0,117.0,65.0,Asbjørn Sletholt,"Flittig, Utenlandsk klubb",Motion 60-,90.86666666666672,117
1205.0,93.0,79.0,112.0,58.0,90.0,116.0,Christopher Skansen,Kinds MK,Motion 30-39,91.33333333333337,118
100.0,35.0,173.6,105.2,32.8,140.4,61.0,Hugo Lindström,FMCK Borås,Motion -39,91.33333333333339,119
620.0,45.0,74.0,49.0,288.2,44.0,51.0,Albin Bäckström Herbertsson,Säffle MCK,Bredd,91.86666666666669,120
1355.0,126.6,68.0,95.0,73.0,97.0,94.0,Anders Jansson Lorek,Göta MS,Motion 50-59,92.2666666666667,121
336.0,95.0,116.0,119.4,66.0,101.0,56.6,Eddie Bergman,Tibro MK,Bredd,92.33333333333337,122
1225.0,80.0,118.0,104.0,46.0,75.0,136.0,Owe Slätt,Stenungsunds MS,Motion 50-59,93.16666666666671,123
240.0,124.4,131.0,103.2,56.4,128.2,25.0,Melker Djurstedt,Djursdala SK,Bredd,94.70000000000003,124
1206.0,105.0,105.0,97.0,59.0,94.0,114.6,Jan-Olof Wallskog,Töreboda MK,Motion 60-,95.7666666666667,125
108.0,105.8,123.0,119.2,46.6,105.0,78.0,Max Linder,Tibro MK,Ungdom E0,96.2666666666667,126
105.0,136.0,102.0,135.0,55.0,102.0,67.0,Kalle Hindström,Tibro MK,Junior,99.50000000000003,127
71.0,44.0,229.8,75.0,54.8,75.2,118.2,Aron Goes,Kortedala MK,Motion -39,99.50000000000006,128
1218.0,118.0,111.0,100.0,55.0,108.0,110.0,Robin Gunnarsson,Skene MS,Junior,100.33333333333337,129
213.0,123.0,117.0,139.0,55.2,114.0,56.0,Christer Hedihn,FMCK Borås,Motion 50-59,100.70000000000003,130
112.0,121.0,141.0,126.0,43.0,127.0,54.0,Jimmy Johansson,Försvarsmaktens EK,Bredd,102.00000000000003,131
104.0,115.0,142.0,136.0,51.4,106.0,64.0,Hans Svärd,Alingsås MCK,Motion 50-59,102.40000000000003,132
1209.0,130.0,86.0,118.0,67.0,97.0,117.2,Anton Isaksson,Götene MK,Motion 16-29,102.53333333333337,133
