Plats,År,Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5,Varv 6,Varv 7,Varv 8,Varv 9,Varv 10,Varv 11,Varv 1_Datetime,Varv 2_Datetime,Varv 3_Datetime,Varv 4_Datetime,Varv 5_Datetime,Varv 6_Datetime,Varv 7_Datetime,Varv 8_Datetime,Varv 9_Datetime,Varv 10_Datetime,Varv 11_Datetime
Töreboda MK,2023.0,76.0,Motion 40-49,903.0,Björn Bäckström,MK Ran,4.0,14:23.1,17:46.2,18:14.1,20:10.8,18:11.8,,,,,,,,1900-01-01 00:17:46.200,1900-01-01 00:18:14.100,1900-01-01 00:20:10.800,1900-01-01 00:18:11.800,,,,,,,
Töreboda MK,2023.0,77.0,Motion -39,500.0,Tommy Oldenburg,FMCK Skövde,4.0,14:25.5,17:50.9,18:28.2,18:58.9,19:07.2,,,,,,,,1900-01-01 00:17:50.900,1900-01-01 00:18:28.200,1900-01-01 00:18:58.900,1900-01-01 00:19:07.200,,,,,,,
Töreboda MK,2023.0,78.0,Motion 40-49,943.0,Anton Gustavsson,Mariestads EK,4.0,14:33.4,18:17.3,18:15.9,18:51.3,19:08.8,,,,,,,,1900-01-01 00:18:17.300,1900-01-01 00:18:15.900,1900-01-01 00:18:51.300,1900-01-01 00:19:08.800,,,,,,,
Töreboda MK,2023.0,79.0,Motion -39,535.0,Johan Andersson,SMK Östgöta,4.0,14:38.8,17:42.6,18:21.4,19:14.4,19:20.3,,,,,,,,1900-01-01 00:17:42.600,1900-01-01 00:18:21.400,1900-01-01 00:19:14.400,1900-01-01 00:19:20.300,,,,,,,
Töreboda MK,2023.0,80.0,Motion 40-49,952.0,Christian Johansson,Tidaholms MK,4.0,14:45.0,17:47.6,18:44.6,18:38.1,19:34.5,,,,,,,,1900-01-01 00:17:47.600,1900-01-01 00:18:44.600,1900-01-01 00:18:38.100,1900-01-01 00:19:34.500,,,,,,,
Töreboda MK,2023.0,81.0,Motion 40-49,928.0,Johan Debrianté,SMK Ljungby,4.0,14:48.4,18:02.6,18:16.8,19:14.1,19:14.7,,,,,,,,1900-01-01 00:18:02.600,1900-01-01 00:18:16.800,1900-01-01 00:19:14.100,1900-01-01 00:19:14.700,,,,,,,
Töreboda MK,2023.0,82.0,Motion -39,631.0,Dennis Olesen,Kullings MS,4.0,14:50.2,17:10.7,19:33.2,18:44.0,19:22.2,,,,,,,,1900-01-01 00:17:10.700,1900-01-01 00:19:33.200,1900-01-01 00:18:44.000,1900-01-01 00:19:22.200,,,,,,,
Töreboda MK,2023.0,83.0,Motion 40-49,947.0,Magnus Enander,Ulricehamns MK,4.0,14:50.5,17:43.0,18:34.9,18:52.2,19:40.2,,,,,,,,1900-01-01 00:17:43.000,1900-01-01 00:18:34.900,1900-01-01 00:18:52.200,1900-01-01 00:19:40.200,,,,,,,
Töreboda MK,2023.0,84.0,Motion -39,572.0,Axel Karlsson,Laxå MK,4.0,15:01.7,18:07.6,18:57.4,18:48.4,19:08.2,,,,,,,,1900-01-01 00:18:07.600,1900-01-01 00:18:57.400,1900-01-01 00:18:48.400,1900-01-01 00:19:08.200,,,,,,,
Töreboda MK,2023.0,85.0,Motion 40-49,973.0,Björn Runfeldt,Norrahammars MK,4.0,15:04.5,18:33.6,18:34.2,18:41.4,19:15.1,,,,,,,,1900-01-01 00:18:33.600,1900-01-01 00:18:34.200,1900-01-01 00:18:41.400,1900-01-01 00:19:15.100,,,,,,,
