Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5
95,Motion 40-49,955,Henrik Nilsson,Mariestads EK,5,10:03.7,17:19.4,8:41.1,17:18.4,9:19.9,17:24.7
96,Motion 40-49,920,Christoffer Johnsson,Hisingens MK,5,10:03.9,16:58.2,8:51.4,17:13.6,9:12.8,17:47.6
97,Motion -39,591,Thim Svensson,Vissefjärda EK,5,10:06.9,16:05.6,7:59.7,16:33.0,8:12.8,21:15.5
98,Motion -39,786,Anton Persson,Tibro MK,5,10:07.2,16:35.2,8:04.9,16:57.8,11:21.1,17:08.0
99,Motion 40-49,917,Tomas Blom,Hallsbergs MK,5,10:10.0,16:47.6,8:03.5,17:06.1,10:44.1,17:28.3
100,Motion -39,565,Erik Wallskog,Töreboda MK,5,10:10.2,16:58.4,8:52.6,18:12.2,8:45.9,17:20.9
101,Motion 40-49,985,Håkan Lykkeberg,BMK Uddevalla,5,10:18.5,16:47.6,8:22.3,16:30.4,11:44.5,16:53.5
102,Motion -39,543,Axel Gustafsson,Lidköpings MCK,5,10:41.2,17:10.5,9:07.3,17:03.8,8:48.2,18:31.2
103,Motion -39,529,Jacob Emilsson,Kristdala Motorsällskap,5,11:02.4,17:33.5,9:30.3,17:27.9,9:22.5,17:08.0
104,Motion 40-49,932,Niklas Utterberg,Norrahammars MK,5,11:16.0,17:24.5,8:30.0,18:07.6,8:59.2,18:14.5
105,Motion -39,515,Gustav Strinne,Edsvära MCK,5,11:44.0,17:16.7,9:08.4,17:50.4,9:19.9,18:08.4
106,Motion 40-49,958,Erik Bergstrand,Oskarshamns MSK,5,12:15.0,17:12.7,8:53.3,18:03.0,9:36.9,18:29.0
107,Motion -39,762,Markus Göransson,Lilla Edets MCK,5,12:23.5,17:57.2,8:58.0,17:23.3,10:08.0,17:56.9
108,Ungdom E1,112,Edvin Kindgren,SMK Eksjö,5,12:24.0,17:19.0,8:59.4,18:37.6,9:49.9,17:37.8
109,Motion -39,689,Jonatan Svantesson,Kullings MS,5,12:43.2,17:42.2,9:05.9,17:57.2,10:17.8,17:39.9
110,Motion 40-49,922,Mikael Sahlin,Lidköpings MCK,5,12:58.6,17:34.2,8:26.7,17:05.4,10:40.1,19:12.0
111,Motion -39,544,Anton Isaksson,Götene MK,5,13:19.3,17:48.8,9:05.6,18:33.8,9:23.3,18:27.5
112,Motion 40-49,990,Johan Kjellson,FMCK Skövde,5,13:24.7,17:14.7,8:33.3,18:34.2,10:07.9,18:54.4
113,Motion 40-49,928,Johan Debrianté,SMK Ljungby,5,13:25.2,17:08.6,8:14.6,17:38.5,12:29.7,17:53.7
114,Motion -39,550,Eric Gustafsson,SMK Vingåker,5,13:43.2,17:38.3,9:00.1,18:42.9,9:52.3,18:29.3
115,Ungdom E1,125,Wiggo Hansson,Tidaholms MK,5,13:47.5,16:39.7,8:27.6,20:24.3,9:51.3,18:24.5
116,Ungdom E1,115,Simon Rutgersson,Stenungsunds MS,5,13:54.4,17:33.9,9:41.6,18:41.1,10:39.2,17:18.4
117,Motion 40-49,904,Henrik Lindström,FMCK Borås,5,13:57.1,17:01.7,9:18.5,19:05.9,10:45.5,17:45.3
118,Motion 40-49,988,Martin Bonander,Stenungsunds MS,5,14:30.8,17:47.8,9:55.1,18:15.3,10:34.0,17:58.4
119,Ungdom E1,194,Edwin Djurstedt,Djursdala SK,5,14:41.2,17:16.6,9:16.4,17:35.0,10:25.4,20:07.5
120,Motion -39,606,Robin Karlsson,Hjo MK,5,14:45.9,18:46.5,9:31.9,18:03.6,9:29.4,18:54.4
121,Motion -39,517,Simon Gustafsson,Älvbygdens MK,5,14:48.4,17:48.3,8:59.5,18:41.6,10:00.0,19:18.9
122,Motion 40-49,913,Daniel Blomqvist,FMCK Skövde,5,14:50.5,17:24.9,12:29.6,17:29.8,10:21.2,17:04.9
123,Motion 40-49,975,Hannu Ylipekkala,Anderstorp RC,5,14:55.6,18:19.3,9:38.2,17:26.6,10:46.1,18:45.1
124,Motion 40-49,907,Jonas Milefors,Kortedala MK,5,14:57.3,18:29.6,9:44.8,18:18.3,9:49.7,18:34.7
125,Motion 40-49,950,Johan Elfving,Ulricehamns MK,5,15:08.2,17:39.4,8:47.6,17:41.3,9:45.7,21:14.0
126,Ungdom E1,181,Emil Gabrielsson,Skene MS,5,15:17.7,17:46.4,10:54.0,18:59.9,9:31.4,18:05.8
127,Ungdom E1,107,Thure Rudklint,Oskarshamns MSK,5,16:04.2,18:19.4,8:56.4,17:57.5,10:22.6,20:28.1
128,Motion 40-49,1019,Johan Angerd,Tranemo MK,5,16:30.9,18:08.4,9:01.2,18:28.7,11:26.4,19:25.9
129,Motion 40-49,912,Peter Berggren,BMK Uddevalla,5,17:26.1,19:04.5,9:33.3,19:15.8,10:14.8,19:17.5
130,Motion 40-49,930,Jonas Lyttbacka,Örebro EK,5,17:44.5,17:24.9,9:13.0,17:55.0,13:56.5,19:14.8
131,Motion -39,669,Albin Johansson,Lidköpings MCK,5,18:20.9,18:44.6,9:01.1,20:57.7,10:06.0,19:31.4
132,Motion 40-49,915,Martin Jonsson,Töreboda MK,5,18:37.0,18:11.0,9:52.0,19:29.3,11:04.8,19:59.8
133,Motion 40-49,956,Tommy Jonsson,Mariestads EK,5,18:48.3,18:43.3,9:52.2,18:47.0,12:17.0,19:08.5
