Carlsborgs MK,2023,Plac,Klass,#,Namn,Klubb,Märke/Anmälare,Varvtider,Varv,Tid
,,91,Motion -39,529,Jacob Emilsson,Kristdala Motorsällskap,Sherco / Ostkustmx Racing Team,21:37.4  22:03.8  21:55.9  22:47.0  ,4,28:24.3
,,92,Motion 40-49,932,Niklas Utterberg,Norrahammars MK,KTM,21:42.0  22:31.2  23:00.5  22:14.2  ,4,29:28.1
,,93,Motion 40-49,958,Erik Bergstrand,Oskarshamns MSK,Sherco / Ostkustmx Racing Team,22:06.5  22:11.2  22:35.1  22:41.9  ,4,29:34.9
,,94,Ungdom E1,103,Lisa Nyqvist,Stenungsunds MS,KTM / Speedequipment MX Team,22:35.5  22:03.6  22:17.0  22:40.9  ,4,29:37.1
,,95,Ungdom E1,126,Marwin Wik,Skene MS,Sherco / Team VIXUS MC,21:54.6  22:29.5  22:21.8  22:58.1  ,4,29:44.2
,,96,Motion -39,544,Anton Isaksson,Götene MK,Husaberg,21:28.6  22:22.7  23:03.8  23:08.4  ,4,30:03.7
,,97,Motion -39,652,Filip Johansson,Tidaholms MK,KTM,22:20.2  22:57.4  22:18.3  22:50.7  ,4,30:26.8
,,98,Motion -39,511,Oliver Wennerholm,FMCK Borås,KTM,21:35.0  22:58.2  22:50.9  23:10.2  ,4,30:34.4
,,99,Motion 40-49,936,Per Karlsson,SMK Vadstena,Sherco,22:39.0  22:46.5  22:48.0  22:38.4  ,4,30:52.0
,,100,Motion 40-49,984,Robban Markusson,SMK Vadstena,Suzuki,22:33.3  22:25.5  22:44.2  23:38.3  ,4,31:21.6
,,101,Motion -39,699,Anton Johansson,FMCK Borås,Suzuki,22:13.0  23:21.2  22:50.7  23:42.0  ,4,32:07.0
,,102,Motion -39,586,Johan Lidén,Eda MK,Sherco,22:45.6  23:47.8  23:43.6  23:59.3  ,4,34:16.4
,,103,Motion -39,552,Jakob Johansson,Tidaholms MK,KTM,17:16.0  18:02.3  18:23.6  ,3,53:41.9
,,104,Motion -39,668,Kevin Andersson,SMK Kolmården,KTM,19:05.9  18:44.6  18:20.4  ,3,56:11.0
,,105,Ungdom E1,188,Liam Ljungström,SMK Vingåker,Beta,19:28.9  19:16.9  18:57.9  ,3,57:43.8
,,106,Motion -39,507,Alfred Ivarsson,Älvbygdens MK,Husqvarna,18:00.3  18:33.5  22:18.6  ,3,58:52.5
,,107,Motion -39,584,Johan Arne Wärnelöv,Tranås MS,Husqvarna,19:29.7  19:49.0  20:01.0  ,3,59:19.7
,,108,Motion -39,551,Melker Svantesson,Kullings MS,KTM,18:50.6  20:31.6  20:29.8  ,3,59:52.2
,,109,Motion 40-49,935,Stefan Andersson,Lilla Edets MCK,KTM,19:58.5  20:05.6  19:52.5  ,3,59:56.7
,,110,Motion 40-49,901,Mattias Eriksson,Varbergs MK,Sherco,19:43.7  20:18.6  20:39.5  ,3,00:42.0
,,111,Motion 40-49,1011,Mikael Hjelm,Finspångs MS,KTM,19:26.9  20:46.7  20:35.1  ,3,00:48.8
,,112,Motion 40-49,957,Markus Andersson,MK Team Treske,KTM,19:46.1  20:35.3  20:44.0  ,3,01:05.4
,,113,Motion -39,799,Patrik Förkrök Ledström,SMK Vadstena,KTM,20:27.3  20:47.2  20:55.9  ,3,02:10.4
,,114,Motion 40-49,952,Christian Johansson,Tidaholms MK,KTM,19:56.2  20:50.7  21:26.7  ,3,02:13.6
,,115,Motion -39,587,Tim Johansson,Linköpings MS,Husqvarna,19:58.0  20:51.9  21:36.4  ,3,02:26.4
,,116,Motion -39,732,Oskar Widin,MK Team Treske,Yamaha,20:09.0  21:26.8  22:10.7  ,3,03:46.5
,,117,Motion -39,541,Patric Gustafsson,Huskvarna MK,KTM,20:46.9  21:13.9  22:04.4  ,3,04:05.4
,,118,Motion 40-49,917,Tomas Blom,Hallsbergs MK,Sherco,21:03.4  21:16.7  21:47.6  ,3,04:07.8
,,119,Motion 40-49,988,Martin Bonander,Stenungsunds MS,KTM,20:56.5  21:30.8  21:40.9  ,3,04:08.3
,,120,Motion -39,569,Christoffer Jonasson,SMC,KTM,21:00.6  21:49.0  21:36.8  ,3,04:26.5
,,121,Motion -39,501,Linus Kjellström,Götene MK,Husqvarna,20:08.5  23:19.3  21:24.1  ,3,04:52.1
,,122,Motion 40-49,1020,Jonas Gustafsson,Götene MK,KTM,21:22.8  21:45.7  22:00.7  ,3,05:09.3
,,123,Motion -39,556,Tommy Gustafsson,Huskvarna MK,Husqvarna,21:28.9  21:45.6  21:57.1  ,3,05:11.7
,,124,Motion 40-49,955,Henrik Nilsson,Mariestads EK,Beta,21:23.9  22:01.5  21:50.9  ,3,05:16.4
,,125,Motion -39,762,Markus Göransson,Lilla Edets MCK,GasGas,22:07.6  21:40.7  21:37.5  ,3,05:26.0
,,126,Motion 40-49,910,Per Eriksson,Hallsbergs MK,Sherco,21:20.3  21:54.2  22:13.3  ,3,05:27.9
,,127,Motion 40-49,930,Jonas Lyttbacka,Örebro EK,Husqvarna,21:23.5  21:38.5  22:44.1  ,3,05:46.2
,,128,Motion -39,550,Eric Gustafsson,SMK Vingåker,KTM,21:02.9  22:42.4  22:03.3  ,3,05:48.7
,,129,Motion 40-49,915,Martin Jonsson,Töreboda MK,GasGas,21:58.3  22:10.8  22:34.0  ,3,06:43.3
,,130,Motion 40-49,907,Jonas Milefors,Kortedala MK,Husqvarna,21:56.8  22:31.3  23:11.9  ,3,07:40.1
,,131,Motion 40-49,990,Johan Kjellson,FMCK Skövde,KTM,21:32.6  22:44.2  23:27.2  ,3,07:44.0
,,132,Motion -39,669,Albin Johansson,Lidköpings MCK,Yamaha,22:25.8  22:58.4  23:20.2  ,3,08:44.6
